,CONTROLNUM_0,CONTROLNUM_2,CONTROLNUM_3,Fam_support,Q513R,Q515R,Q702R_1,Q702R_3,ageyr10_1,earlymarriage_1,edpart_3,mcv1006,mcv1006a,mcv1006b,mcv1008,mcv1009,men_alcohol_all,sumdiffage_1
1033,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
92,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
1305,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
429,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
1031,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
889,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
1136,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0
653,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
904,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1304,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
721,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
916,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
969,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1382,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1190,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
806,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
750,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
581,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1344,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1
898,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
619,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0
335,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
509,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
301,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1078,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1376,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
24,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0
1046,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
194,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1204,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
308,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
271,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
599,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
722,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
314,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1353,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1049,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
15,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0
637,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
673,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1207,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
488,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0
822,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
63,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
847,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0
425,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0
253,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
811,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0
250,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
567,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
578,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
257,0,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0
1142,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
784,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0
1335,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1285,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
585,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
755,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
579,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
595,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
84,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1334,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1
781,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1389,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
155,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
712,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1101,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1379,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
965,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1358,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
1081,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
430,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
933,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1184,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
322,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
527,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0
1040,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
18,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
936,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1363,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0
719,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
370,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1367,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
